Dates;Eolien;Capa_eol;TCH_eol
2014-01-22 12:00:00;811.0;8210;0.09878197320341048
2014-01-22 15:00:00;613.8333333333334;8210;0.07476654486398701
2014-01-22 18:00:00;843.3333333333335;8210;0.10272025984571663
2014-01-22 21:00:00;998.8333333333335;8210;0.12166057653268374
2014-01-23 00:00:00;1046.0;8212;0.12737457379444714
2014-01-23 03:00:00;1201.0;8212;0.1462493911349245
2014-01-23 06:00:00;1360.0;8212;0.16561130053580125
2014-01-23 09:00:00;1618.833333333333;8212;0.19713021594414673
2014-01-23 12:00:00;2505.333333333333;8212;0.3050819938301672
2014-01-23 15:00:00;3711.333333333334;8212;0.4519402500405911
2014-01-23 18:00:00;4116.833333333333;8212;0.5013192076635817
2014-01-23 21:00:00;3821.166666666666;8212;0.4653149861990582
2014-01-24 00:00:00;2782.666666666666;8213;0.3388124518040504
2014-01-24 03:00:00;2001.0;8213;0.2436381346645562
2014-01-24 06:00:00;1457.666666666667;8213;0.17748285238848982
2014-01-24 09:00:00;1177.0;8213;0.14330938755631317
2014-01-24 12:00:00;1307.0;8213;0.15913795202727382
2014-01-24 15:00:00;1336.0;8213;0.16266893948618044
2014-01-24 18:00:00;1623.0;8213;0.1976135395105321
2014-01-24 21:00:00;1880.833333333333;8213;0.22900685904460405
2014-01-25 00:00:00;1943.5;8217;0.2365218449555799
2014-01-25 03:00:00;1853.666666666667;8217;0.22558922558922562
2014-01-25 06:00:00;1970.833333333333;8217;0.23984828201695668
2014-01-25 09:00:00;1859.333333333333;8217;0.22627885278487683
2014-01-25 12:00:00;1688.833333333333;8217;0.20552918745689827
2014-01-25 15:00:00;2397.1666666666665;8217;0.2917325869133098
2014-01-25 18:00:00;4346.333333333333;8217;0.528944059064541
2014-01-25 21:00:00;5186.166666666667;8217;0.6311508660906252
2014-01-26 00:00:00;4386.0;8219;0.5336415622338484
2014-01-26 03:00:00;3390.833333333333;8219;0.41256032769598894
2014-01-26 06:00:00;2548.5;8219;0.3100742182747293
2014-01-26 09:00:00;2929.666666666666;8219;0.3564505008719633
2014-01-26 12:00:00;4605.5;8219;0.5603479742061078
2014-01-26 15:00:00;6078.833333333332;8219;0.7396074137161859
2014-01-26 18:00:00;6355.666666666668;8219;0.773289532384313
2014-01-26 21:00:00;5943.0;8219;0.7230806667477795
2014-01-27 00:00:00;5219.0;8223;0.6346832056427095
2014-01-27 03:00:00;4913.0;8223;0.5974705095463942
2014-01-27 06:00:00;4757.833333333333;8223;0.5786006729093194
2014-01-27 09:00:00;4560.666666666667;8223;0.5546232113178483
2014-01-27 12:00:00;4709.333333333333;8223;0.5727025821881714
2014-01-27 15:00:00;4128.166666666667;8223;0.5020268352993636
2014-01-27 18:00:00;3801.5;8223;0.4623008634318375
2014-01-27 21:00:00;3897.166666666666;8223;0.47393489805018435
2014-01-28 00:00:00;3804.333333333334;8227;0.4624204853936227
2014-01-28 03:00:00;3888.666666666666;8227;0.47267128560431093
2014-01-28 06:00:00;4228.833333333333;8227;0.5140188809205462
2014-01-28 09:00:00;4019.166666666666;8227;0.4885336898829058
2014-01-28 12:00:00;3704.0;8227;0.4502248693326851
2014-01-28 15:00:00;2956.666666666666;8227;0.35938576232729624
2014-01-28 18:00:00;2695.6666666666665;8227;0.32766095377010657
2014-01-28 21:00:00;2786.333333333333;8227;0.33868157692151857
2014-01-29 00:00:00;2898.166666666666;8231;0.3521038350949661
2014-01-29 03:00:00;2843.5;8231;0.34546227675859553
2014-01-29 06:00:00;2784.166666666666;8231;0.3382537561252176
2014-01-29 09:00:00;2544.6666666666665;8231;0.30915644109666707
2014-01-29 12:00:00;2184.333333333333;8231;0.2653788523063216
2014-01-29 15:00:00;1623.5;8231;0.19724213339812902
2014-01-29 18:00:00;1304.0;8231;0.15842546470659702
2014-01-29 21:00:00;942.6666666666665;8231;0.11452638399546429
2014-01-30 00:00:00;850.0;8235;0.10321797207043108
2014-01-30 03:00:00;840.0;8235;0.10200364298724955
2014-01-30 06:00:00;900.8333333333335;8235;0.10939081157660395
2014-01-30 09:00:00;658.0;8235;0.07990285367334547
2014-01-30 12:00:00;573.1666666666666;8235;0.0696012952843554
2014-01-30 15:00:00;558.3333333333334;8235;0.06780004047763612
2014-01-30 18:00:00;498.5;8235;0.06053430479659988
2014-01-30 21:00:00;509.66666666666674;8235;0.06189030560615261
2014-01-31 00:00:00;400.16666666666674;8237;0.04858160333454738
2014-01-31 03:00:00;371.0;8237;0.045040670146898144
2014-01-31 06:00:00;587.3333333333334;8237;0.07130427744729069
2014-01-31 09:00:00;1098.6666666666667;8237;0.13338189470276396
2014-01-31 12:00:00;2098.6666666666665;8237;0.2547853182793088
2014-01-31 15:00:00;3370.5;8237;0.40919023916474445
2014-01-31 18:00:00;4606.666666666667;8237;0.5592651046092834
2014-01-31 21:00:00;5724.666666666668;8237;0.6949941321678607
2014-02-01 00:00:00;6025.166666666668;8242;0.7310321119469386
2014-02-01 03:00:00;6070.666666666668;8242;0.7365526166787998
2014-02-01 06:00:00;5449.666666666667;8242;0.6612068268219689
2014-02-01 09:00:00;4392.833333333333;8242;0.5329814769877861
2014-02-01 12:00:00;3941.833333333334;8242;0.4782617487664807
2014-02-01 15:00:00;3006.333333333333;8242;0.3647577448839278
2014-02-01 18:00:00;3107.166666666666;8242;0.3769918304618619
2014-02-01 21:00:00;3398.833333333333;8242;0.41237968130712604
2014-02-02 00:00:00;3098.0;8244;0.37578845220766616
2014-02-02 03:00:00;2974.5;8244;0.36080786026200873
2014-02-02 06:00:00;2946.333333333333;8244;0.3573912340287886
2014-02-02 09:00:00;2358.6666666666665;8244;0.2861070677664564
2014-02-02 12:00:00;1802.5;8244;0.21864386220281418
2014-02-02 15:00:00;1512.5;8244;0.18346676370693837
2014-02-02 18:00:00;1437.166666666667;8244;0.1743288047873201
2014-02-02 21:00:00;1770.833333333333;8244;0.21480268478085068
2014-02-03 00:00:00;1770.833333333333;8246;0.21475058614277626
2014-02-03 03:00:00;2021.666666666667;8246;0.24516937505052958
2014-02-03 06:00:00;2802.333333333333;8246;0.33984153933220146
2014-02-03 09:00:00;3082.833333333333;8246;0.3738580321772172
2014-02-03 12:00:00;3100.0;8246;0.37593984962406013
2014-02-03 15:00:00;2831.333333333333;8246;0.3433583959899749
2014-02-03 18:00:00;3345.333333333333;8246;0.40569164847602873
2014-02-03 21:00:00;3888.833333333334;8246;0.47160239307947294
