X;Balance
461;2351.833333
462;-118.5
463;318.3333333
464;-2126
465;-1219.833333
466;-1169.833333
467;-1687.166667
468;-892.5
469;1456
470;-81.16666667
471;-85.66666667
472;-1060.333333
473;-115.3333333
474;-1304.5
475;-1337
476;-1297.666667
477;494.5
478;-1148.333333
479;-417.8333333
480;-1069.333333
481;-108
482;328.8333333
483;463.5
484;780
485;2842.333333
486;1863.166667
487;685.6666667
488;-898.1666667
489;-493.3333333
490;-761.1666667
491;296.8333333
492;998.5
493;5283.333333
494;4780.333333
495;3162.666667
496;314.6666667
497;1647.5
498;169.6666667
499;803.8333333
500;1997.5
501;4519.833333
502;3748.5
503;3381.666667
504;2699.5
505;4702
506;2691.833333
507;2807.166667
508;3448.666667
509;4875
510;4046.166667
511;6086.166667
512;5014
513;6627.166667
514;4172.5
515;4561
516;4597.666667
517;5674.666667
518;4844.833333
519;5086.666667
520;4775.333333
521;6735.666667
522;5376.5
523;5823
524;5799.833333
525;6708
526;5748.333333
527;6719.833333
528;5507.166667
529;5857.666667
530;6186.333333
531;7262.166667
532;6813
533;6998.333333
534;6219.333333
535;7163.5
536;6017.833333
537;6552.333333
538;5763.833333
539;5742.666667
540;6157.666667
541;7604.5
542;7223.166667
543;6619
544;5474
545;5743.833333
546;6144
547;6545.666667
548;6546.666667
549;7823
550;7853.666667
551;6903.5
552;5206.666667
553;5761.5
554;3991.166667
555;4437.833333
556;4929.333333
557;5165.666667
558;3556.833333
559;4167.5
560;4092
561;5896.833333
562;4042.333333
563;2505
564;1053.833333
565;2304
566;467.1666667
567;1423.833333
568;-430.3333333
569;693
570;-2113
571;-1200.166667
572;-656.8333333
573;1414.833333
574;-80.5
575;-1252.166667
576;-1801
577;-632.8333333
578;-3698.166667
579;-2728.166667
580;-1118.166667
581;1405.5
582;-365
583;-1281
584;-2616.666667
585;-2236
586;-4174.333333
587;-3580.166667
588;-1534.5
589;1582.333333
590;541.6666667
591;665.8333333
592;315.6666667
593;216.1666667
594;411
595;1814.166667
596;1203.5
597;3873.166667
598;3748.333333
599;3513.333333
600;3060.833333
601;3993.166667
602;4787.666667
603;4129.166667
604;4601.333333
605;6241.5
606;5556.833333
607;4800.5
608;2532.166667
609;2893
610;854.8333333
611;643.8333333
612;832.1666667
613;3171.833333
614;1372.166667
615;1979.833333
616;986.1666667
617;1273.666667
618;-112.1666667
619;-268.3333333
620;863.3333333
621;2940
622;1676.333333
623;2300.333333
624;980.1666667
625;1884.666667
626;1189.5
627;2604.833333
628;2484.833333
629;3946.166667
630;2595.666667
631;2013.5
632;935.3333333
633;1636.666667
634;197.6666667
635;-741
636;26.83333333
637;2769
638;1671.5
639;2522.166667
640;3042.833333
641;3895.166667
642;2797.333333
643;3426.5
644;4420
645;6647.5
646;5175.833333
647;4918
648;3845.666667
649;4071.166667
650;4026.5
651;4662.833333
652;4040.333333
653;4545.833333
654;4812.666667
655;4397.333333
656;2554.666667
657;2765.5
658;2838.166667
659;1855
660;2543.666667
661;4191.833333
662;3283.333333
663;2389.833333
664;2738.333333
665;3252.333333
666;490
667;208.3333333
668;199.8333333
669;2443
670;1265.166667
671;2204.333333
672;1560.833333
673;2510.166667
674;-207.8333333
675;-332.3333333
676;64.66666667
677;2884.333333
678;2009.166667
679;2735.666667
680;1583.5
681;1940.833333
682;801.8333333
683;403.8333333
684;356.3333333
685;1651
686;1316
687;1355.166667
688;2294.333333
689;2209.666667
690;1089
691;40.83333333
692;432.6666667
693;337.8333333
694;-45
695;2801
696;1724.166667
697;2247.333333
698;92.5
699;-191.8333333
700;-88.16666667
701;1389.5
702;1449.833333
703;2268.833333
704;1431.166667
705;1826.333333
706;1204.5
707;1448
708;2194.5
709;2794.5
710;2319.5
711;2039.5
712;1741.5
713;1146.833333
714;686.5
715;969.1666667
716;923.5
717;1898.666667
718;1834.833333
719;1567.5
720;785.6666667
721;1420.5
722;850.5
723;30.83333333
724;-385.1666667
725;985.8333333
726;2885.166667
727;2026.5
728;1592
729;3239
730;-748.8333333
731;-825
732;-258.5
733;1694.5
