Regions;YYMM;YY;MM;Temperature;Vent;Humidite;Precipitations
B;1308;13;8;17.96774194;3.346774194;75.70967742;0.185483871
B;1309;13;9;16.34166667;3.241666667;79.8125;0.445833333
B;1310;13;10;14.89112903;4.504032258;85.64112903;1.068548387
B;1311;13;11;9.870833333;3.933333333;84.45416667;1.091666667
B;1312;13;12;8.491935484;4.778225806;87.15322581;1.342741935
B;1401;14;1;8.576612903;5.120967742;88.875;1.455645161
B;1402;14;2;8.415178571;6.370535714;82.17410714;1.763392857
B;1403;14;3;8.963709677;3.97983871;81.59274194;0.504032258
B;1404;14;4;11.24583333;3.9125;79.85833333;0.55
B;1405;14;5;12.95967742;3.927419355;78.27822581;0.875
B;1406;14;6;16.52916667;3.716666667;73.3375;0.475
B;1407;14;7;18.34677419;3.47983871;77.66532258;0.612903226
B;1408;14;8;16.69354839;3.52016129;79.21774194;1.004032258
B;1409;14;9;17.58333333;2.745833333;78.33333333;0.083333333
B;1410;14;10;14.90725806;3.850806452;83.75403226;0.931451613
B;1411;14;11;11.34166667;3.85;87.93333333;1.404166667
B;1412;14;12;8.451612903;3.963709677;84.08467742;0.689516129
B;1501;15;1;7.814516129;4.669354839;84.21774194;1.108870968
B;1502;15;2;6.035714286;4.330357143;81.97767857;1
B;1503;15;3;8.568548387;4.439516129;79.89919355;0.318548387
B;1504;15;4;11.73333333;3.766666667;72.92083333;0.45
B;1505;15;5;12.88306452;4.185483871;80.47983871;0.673387097
B;1506;15;6;15.88333333;3.758333333;73.47916667;0.229166667
B;1507;15;7;17.62903226;3.862903226;75.41935484;0.564516129
B;1508;15;8;17.18145161;3.629032258;78.86290323;1.153225806
B;1509;15;9;14.6875;3.608333333;77.80833333;0.508333333
B;1510;15;10;12.91532258;3.556451613;82.58870968;0.572580645
B;1511;15;11;12.64166667;4.820833333;85.39583333;0.808333333
B;1512;15;12;12.01612903;5.879032258;84.02419355;0.665322581
B;1601;16;1;8.512096774;5.14516129;85.78629032;1.629032258
B;1602;16;2;7.788793103;5.068965517;79.88362069;1.232758621
B;1603;16;3;7.814516129;4.97983871;77.86693548;0.741935484
B;1604;16;4;9.508333333;3.975;75.5125;0.4625
B;1605;16;5;13.46370968;3.629032258;77.37096774;0.508064516
B;1606;16;6;15.70833333;3.425;83.32083333;0.854166667
B;1607;16;7;17.77419355;3.209677419;77.27419355;0.189516129
B;1608;16;8;18.43145161;3.512096774;77.47580645;0.391129032
B;1609;16;9;17.39166667;3.383333333;80.94583333;0.516666667
B;1610;16;10;12.0766129;2.899193548;82.95564516;0.435483871
B;1611;16;11;9.55;3.9875;85.74583333;1.058333333
B;1612;16;12;8.153225806;3.024193548;91.54032258;0.241935484
B;1701;17;1;5.633064516;3.379032258;85.60483871;0.508064516
B;1702;17;2;8.15625;4.571428571;85.85267857;0.910714286
B;1703;17;3;10.2983871;4.713709677;82.08064516;0.596774194
B;1704;17;4;10.47916667;3.391666667;75.15416667;0.320833333
B;1705;17;5;14.56451613;3.745967742;79.61693548;0.830645161
B;1706;17;6;17.24583333;3.779166667;77.21666667;0.329166667
B;1707;17;7;17.85080645;3.987903226;80.52822581;0.528225806
B;1708;17;8;17.33870968;3.487903226;81.06854839;0.858870968
B;1709;17;9;14.78333333;3.6375;86.44166667;0.941666667
B;1710;17;10;14.16129032;3.419354839;88.00403226;0.439516129
B;1711;17;11;9.8125;3.216666667;87.95;0.704166667
B;1712;17;12;8.334677419;4.282258065;88.56048387;0.991935484
B;1801;18;1;9.040322581;5.35483871;89.39516129;0.879032258
B;1802;18;2;5.053571429;4.544642857;78.26339286;0.616071429
B;1803;18;3;7.620967742;4.826612903;84.99596774;1.056451613
B;1804;18;4;11.52916667;4.1;81.14166667;0.541666667
B;1805;18;5;13.60080645;3.528225806;80.10483871;0.439516129
B;1806;18;6;17.2625;3.4625;78.34583333;0.754166667
B;1807;18;7;19.38306452;3.366935484;75.15322581;0.580645161
B;1808;18;8;17.9233871;2.959677419;80.84677419;0.487903226
B;1809;18;9;16.275;3.658333333;78.075;0.204166667
B;1810;18;10;12.93548387;3.584677419;82.62096774;0.951612903
B;1811;18;11;9.829166667;4.3625;88.01666667;1.079166667
B;1812;18;12;9.677419355;4.475806452;90.86693548;1.080645161
B;1901;19;1;6.870967742;3.334677419;86.13709677;0.697580645
B;1902;19;2;8.794642857;4.022321429;83.5625;0.727678571
B;1903;19;3;9.798387097;4.927419355;80.89516129;0.512096774
B;1904;19;4;10.7375;3.820833333;77.3875;0.666666667
B;1905;19;5;12.88306452;3.568548387;75.69758065;0.379032258
B;1906;19;6;15.875;3.733333333;79.99583333;0.829166667
B;1907;19;7;19.16129032;4.008064516;70.69354839;0.217741935
B;1908;19;8;17.86290323;3.826612903;78.27822581;0.616935484
B;1909;19;9;16.25833333;4.520833333;80.22916667;0.670833333
B;1910;19;10;13.59274194;4.504032258;88.49193548;1.705645161
B;1911;19;11;9.5;4.6375;89.14583333;2.0125
B;1912;19;12;8.822580645;5.149193548;87.67741935;0.947580645
B;2001;20;1;8.633064516;5.032258065;87.83064516;0.762096774
B;2002;20;2;9.594827586;6.681034483;83.77155172;1.077586207
B;2003;20;3;8.987903226;5.274193548;78.7983871;0.608870968
B;2004;20;4;12.54583333;3.791666667;75.99166667;0.554166667
B;2005;20;5;14.89112903;4.169354839;69.14919355;0.330645161
B;2006;20;6;15.90833333;3.904166667;79.31666667;0.791666667
B;2007;20;7;17.35887097;3.927419355;76.2983871;0.165322581
B;2008;20;8;18.51612903;4.112903226;80.40725806;0.568548387
B;2009;20;9;16.46666667;3.45;81.45416667;0.504166667
B;2010;20;10;12.63306452;4.991935484;85.73790323;1.346774194
B;2011;20;11;11.64166667;4.333333333;87.075;0.591666667
B;2012;20;12;8.774193548;5.346774194;88.25806452;1.717741935
B;2101;21;1;6.741935484;4.149193548;88.71370968;1.008064516
B;2102;21;2;7.785714286;5.441964286;83.08035714;0.678571429
B;2103;21;3;9.024193548;4.483870968;77.83064516;0.302419355
B;2104;21;4;9.608333333;4.166666667;67.9;0.158333333
B;2105;21;5;12.06854839;4.955645161;78.09274194;0.75
B;2106;21;6;16.15;3.079166667;81.69166667;1.0625
B;2107;21;7;17.91935484;4.076612903;80.0766129;0.77016129
B;2108;21;8;17;3.89516129;82.26209677;0.318548387
B;2109;21;9;17.29583333;3.504166667;82.11666667;0.4375
B;2110;21;10;13.83467742;4.169354839;86.91935484;1.161290323
